Year,Country,Region,Population,Income,LifeExpectancy,,,,,,,,,,,,,,,,,,,,
1800,Turkey,Europe_Central_Asia,.,869.92,35,,,,,,,,,,,,,,,,,,,,
1800,Turkmenistan,Europe_Central_Asia,367215,513.35,.,,,,,,,,,,,,,,,,,,,,
1800,Ukraine,Europe_Central_Asia,11215490,807.51,36.6,,,,,,,,,,,,,,,,,,,,
1800,United_Kingdom,Europe_Central_Asia,.,2716.87,40.02,,,,,,,,,,,,,,,,,,,,
1800,Uzbekistan,Europe_Central_Asia,1919159,346.43,.,,,,,,,,,,,,,,,,,,,,
1800,Australia,Asia_Pacific,.,671.48,34.05,,,,,,,,,,,,,,,,,,,,
1800,Brunei,Asia_Pacific,2128,1011.68,29.2,,,,,,,,,,,,,,,,,,,,
1800,Cambodia,Asia_Pacific,2090000,809.23,35,,,,,,,,,,,,,,,,,,,,
1800,China,Asia_Pacific,.,985.89,32,,,,,,,,,,,,,,,,,,,,
1800,Fiji,Asia_Pacific,130533,472.12,26.1,,,,,,,,,,,,,,,,,,,,
1800,French_Polynesia,Asia_Pacific,62530,809.34,.,,,,,,,,,,,,,,,,,,,,
1800,Hong_Kong_China,Asia_Pacific,20000,790.15,.,,,,,,,,,,,,,,,,,,,,
1800,Indonesia,Asia_Pacific,.,514.12,30,,,,,,,,,,,,,,,,,,,,
1800,Japan,Asia_Pacific,.,1055.06,36.4,,,,,,,,,,,,,,,,,,,,
1800,Korea_Dem_Rep,Asia_Pacific,4345000,698,26,,,,,,,,,,,,,,,,,,,,
1800,Korea_Rep,Asia_Pacific,9395000,596,25.8,,,,,,,,,,,,,,,,,,,,
1800,Macao_China,Asia_Pacific,.,607.01,.,,,,,,,,,,,,,,,,,,,,
1800,Malaysia,Asia_Pacific,287000,750.13,30.6,,,,,,,,,,,,,,,,,,,,
1800,Micronesia_Fed_Sts,Asia_Pacific,16416,553.05,.,,,,,,,,,,,,,,,,,,,,
1800,Mongolia,Asia_Pacific,619000,606.93,31.8,,,,,,,,,,,,,,,,,,,,
1800,Myanmar,Asia_Pacific,3506000,569.07,30.8,,,,,,,,,,,,,,,,,,,,
1800,New_Caledonia,Asia_Pacific,29432,944.24,.,,,,,,,,,,,,,,,,,,,,
1800,New_Zealand,Asia_Pacific,.,541.62,34.05,,,,,,,,,,,,,,,,,,,,
1800,Papua_New_Guinea,Asia_Pacific,754894,573.29,31.5,,,,,,,,,,,,,,,,,,,,
1800,Philippines,Asia_Pacific,2176000,626.97,30.9,,,,,,,,,,,,,,,,,,,,
1800,Samoa,Asia_Pacific,47300,1308.44,.,,,,,,,,,,,,,,,,,,,,
1800,Singapore,Asia_Pacific,30000,861.82,29.1,,,,,,,,,,,,,,,,,,,,
1800,Solomon_Islands,Asia_Pacific,56998,387.81,25.7,,,,,,,,,,,,,,,,,,,,
1800,Taiwan,Asia_Pacific,2000000,871,28.3,,,,,,,,,,,,,,,,,,,,
1800,Thailand,Asia_Pacific,4665000,496.98,30.4,,,,,,,,,,,,,,,,,,,,
1800,Timor-Leste,Asia_Pacific,137262,514.12,.,,,,,,,,,,,,,,,,,,,,
1800,Tokelau,Asia_Pacific,1009,.,.,,,,,,,,,,,,,,,,,,,,
1800,Tonga,Asia_Pacific,18658,667.71,.,,,,,,,,,,,,,,,,,,,,
1800,Vietnam,Asia_Pacific,6551000,459.71,32,,,,,,,,,,,,,,,,,,,,
1800,Vanuatu,Asia_Pacific,27791,829.58,.,,,,,,,,,,,,,,,,,,,,
1801,Costa_Rica,America,53000,.,.,,,,,,,,,,,,,,,,,,,,
1801,Honduras,America,130000,.,.,,,,,,,,,,,,,,,,,,,,
1801,United_States,America,.,1948.59,.,,,,,,,,,,,,,,,,,,,,
1801,Greece,Europe_Central_Asia,.,935.9,.,,,,,,,,,,,,,,,,,,,,
1801,Italy,Europe_Central_Asia,.,1322.44,.,,,,,,,,,,,,,,,,,,,,
1801,Netherlands,Europe_Central_Asia,.,2410.19,.,,,,,,,,,,,,,,,,,,,,
1801,Sweden,Europe_Central_Asia,.,1105,36.9,,,,,,,,,,,,,,,,,,,,
1801,Switzerland,Europe_Central_Asia,.,1615.2,.,,,,,,,,,,,,,,,,,,,,
1801,United_Kingdom,Europe_Central_Asia,.,2736.98,.,,,,,,,,,,,,,,,,,,,,
1802,United_States,America,.,1981.63,.,,,,,,,,,,,,,,,,,,,,
1802,Greece,Europe_Central_Asia,.,937.38,.,,,,,,,,,,,,,,,,,,,,
1802,Italy,Europe_Central_Asia,.,1365.94,.,,,,,,,,,,,,,,,,,,,,
1802,Netherlands,Europe_Central_Asia,.,2407.94,.,,,,,,,,,,,,,,,,,,,,
1802,Sweden,Europe_Central_Asia,.,1159,40.2,,,,,,,,,,,,,,,,,,,,
1802,Switzerland,Europe_Central_Asia,.,1617.94,.,,,,,,,,,,,,,,,,,,,,
1802,United_Kingdom,Europe_Central_Asia,.,2740.53,.,,,,,,,,,,,,,,,,,,,,
1803,United_States,America,.,1946.61,.,,,,,,,,,,,,,,,,,,,,
1803,Greece,Europe_Central_Asia,.,938.87,.,,,,,,,,,,,,,,,,,,,,
1803,Italy,Europe_Central_Asia,.,1405.09,.,,,,,,,,,,,,,,,,,,,,
1803,Netherlands,Europe_Central_Asia,.,2405.7,.,,,,,,,,,,,,,,,,,,,,
1803,Sweden,Europe_Central_Asia,.,1141,40.28,,,,,,,,,,,,,,,,,,,,
1803,Switzerland,Europe_Central_Asia,.,1620.67,.,,,,,,,,,,,,,,,,,,,,
1803,United_Kingdom,Europe_Central_Asia,.,2744.1,40.02,,,,,,,,,,,,,,,,,,,,
1804,Cuba,America,.,.,32.7,,,,,,,,,,,,,,,,,,,,
1804,United_States,America,.,1944.22,.,,,,,,,,,,,,,,,,,,,,
1804,Greece,Europe_Central_Asia,.,940.36,.,,,,,,,,,,,,,,,,,,,,
1804,Italy,Europe_Central_Asia,.,1465.99,.,,,,,,,,,,,,,,,,,,,,
